,name,rating_star,total_reviews,old_price,new_price,website_link
0,"Redmi 12C (Mint Green, 4GB RAM, 64GB Storage) | High Performance Mediatek Helio G85 | Big 17cm(6.71) HD+ Display with 5000mAh(typ) Battery",3.9 / 5 ,"8,736","₹13,999","₹6,999",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo4OTkxNTM4ODYzNTM1NjYwOjE2OTgwOTE0MDQ6c3BfYXRmOjIwMTQyNDcxMDQxMjk4OjowOjo&url=%2FRedmi-Storage-Performance-Mediatek-Display%2Fdp%2FB0BYN34PGJ%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dmobile%26qid%3D1698091404%26s%3Delectronics%26sr%3D1-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,itel P55 5G | Dimensity 6080 | 12GB* RAM+128GB ROM with Memory Fusion| 50MP AI Dual Rear Camera| 5000mAh Battery | 2 Years Warranty | Mint Green,4.2 / 5 ,238,"₹13,499","₹9,999",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo4OTkxNTM4ODYzNTM1NjYwOjE2OTgwOTE0MDQ6c3BfYXRmOjMwMDA2NjIxMjgxODYzMjo6MDo6&url=%2Fitel-Dimensity-5000mAh-Battery-Warranty%2Fdp%2FB0CHJN2HNZ%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dmobile%26qid%3D1698091404%26s%3Delectronics%26sr%3D1-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,"Redmi A2 (Sea Green, 2GB RAM, 64GB Storage)",3.8 / 5 ,"4,342","₹9,999","₹5,299",https://www.amazon.in//Redmi-Sea-Green-64GB-Storage/dp/B0C74PD9VG/ref=sr_1_3?keywords=mobile&qid=1698091404&s=electronics&sr=1-3
3,"Vivo Y56 5G (Black Engine, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",4.0 / 5 ,620,"₹24,999","₹18,999",https://www.amazon.in//Vivo-Engine-Storage-Additional-Exchange/dp/B07WFPMD64/ref=sr_1_4?keywords=mobile&qid=1698091404&s=electronics&sr=1-4
4,"Nokia All-New 105 Single Sim Keypad Phone with Built-in UPI Payments, Long-Lasting Battery, Wireless FM Radio | Charcoal",4.0 / 5 ,"142,576","₹1,599","₹1,299",https://www.amazon.in//Nokia-Payments-Long-Lasting-Wireless-Charcoal/dp/B0C5RK3X6F/ref=sr_1_5?keywords=mobile&qid=1698091404&s=electronics&sr=1-5
5,"Samsung Galaxy M13 (Midnight Blue, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus",4.1 / 5 ,"28,441","₹14,999","₹9,199",https://www.amazon.in//Samsung-Midnight-Storage-6000mAh-Battery/dp/B0B4F52B5X/ref=sr_1_6?keywords=mobile&qid=1698091404&s=electronics&sr=1-6
6,"Samsung Galaxy M04 Light Green, 4GB RAM, 64GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera",3.9 / 5 ,"12,969","₹11,999","₹6,499",https://www.amazon.in//Samsung-Storage-MediaTek-Octa-core-Processor/dp/B0BMGB2TPR/ref=sr_1_7?keywords=mobile&qid=1698091404&s=electronics&sr=1-7
7,"Samsung Galaxy M04 Dark Blue, 4GB RAM, 64GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera",3.9 / 5 ,"12,969","₹11,999","₹6,499",https://www.amazon.in//Samsung-Storage-MediaTek-Octa-core-Processor/dp/B0BMGB3CH9/ref=sr_1_8?keywords=mobile&qid=1698091404&s=electronics&sr=1-8
8,"Samsung Galaxy M04 Dark Blue, 4GB RAM, 128GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera",3.9 / 5 ,"12,969","₹13,499","₹7,499",https://www.amazon.in//Samsung-Storage-MediaTek-Octa-core-Processor/dp/B0BMGG6NKT/ref=sr_1_9?keywords=mobile&qid=1698091404&s=electronics&sr=1-9
9,"realme narzo 60X 5G（Nebula Purple 6GB,128GB Storage ） Up to 2TB External Memory | 50 MP AI Primary Camera | Segments only 33W Supervooc Charge",4.0 / 5 ,"1,019","₹15,999","₹13,499",https://www.amazon.in//realme-5G%EF%BC%88Nebula-External-Segments-Supervooc/dp/B0CGDNJX9X/ref=sr_1_10?keywords=mobile&qid=1698091404&s=electronics&sr=1-10
