,Title,Release Year,Genres,Rating,Votes,Story
0,Ganapath: Hero is Born,2023,"Action, Drama, Sci-Fi",5.8,"8,885","In a dystopian future, Ganapath, a relentless and skilled vigilante, embarks on a mission to dismantle a powerful criminal empire that has gripped the city in fear, Ganapath becomes a symbol of hope for the oppressed in which leads dark."
1,OMG 2,2023,"Comedy, Drama",7.7,"30,968",An unhappy civilian asks the court to mandate comprehensive education in schools in a dramatic yet amusing courtroom play.
2,Khufiya,2023,"Action, Biography, Crime",6.0,"4,024","Krishna Mehra is an operative at Indian spy agency known as R&AW. She is assigned to track down the mole selling India's defense secrets, while all along grappling with her dual identity as a spy and a lover."
3,Jawan,2023,"Action, Thriller",7.5,"63,398",A high-octane action thriller which outlines the emotional journey of a man who is set to rectify the wrongs in the society.
4,Mission Raniganj,2023,"Action, Biography, Drama",7.7,"11,911",Mining engineer Jaswant Singh Gill leads a challenging rescue mission to save 65 miners trapped in a flooded coal mine.
5,Yaariyan 2,2023,"Comedy, Drama, Musical",8.7,"10,557","It follows the journeys of three cousins, Shikhar, Ladli, and Bajrang, as they navigate their adventures, dreams and self-discovery in Mumbai. The story revolves around Ladli's troubled ...                See full summary »"
6,Jaane Jaan,2023,"Crime, Drama, Mystery",7.0,"9,847",A single mother and her daughter who commit a crime and a neighbor who helps them cover it up amidst a police investigation.
7,RRR,2022,"Action, Drama",7.8,"158,152
| Gross",A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in the 1920s.
8,Rocky Aur Rani Kii Prem Kahaani,2023,"Comedy, Drama, Family",6.7,"37,838","Flamboyant Punjabi Rocky and intellectual Bengali journalist Rani fall in love despite their differences. After facing family opposition, they decide to live with each other's families for three months before getting married."
9,3 Idiots,2009,"Comedy, Drama",8.4,"420,167
| Gross","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
10,Tiger 3,2023,"Action, Adventure, Thriller",NaN,NaN,Plot under wraps
11,Jailer,I) (2023,"Action, Comedy, Crime",7.1,"26,568","A retired jailer goes on a manhunt to find his son's killers. But the road leads him to a familiar, albeit a bit darker place. Can he emerge from this complex situation successfully?"
