,Title,Release Year,Genres,Rating,Votes,Story
0,The Worst Evil,2023– ,"Action, Crime, Drama",8.6,"1,198","In the 1990s, a police officer goes undercover to infiltrate a mega crime syndicate that distributes illegal drugs across South Korea, China, and Japan. His wife, a narcotics officer, is also involved."
1,Squid Game,2021– ,"Action, Drama, Mystery",8.0,"504,554","Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits with deadly high stakes: a survival game that has a whopping 45.6 billion-won prize at stake."
2,Moving,2023– ,"Action, Adventure, Fantasy",8.5,"6,341",The quiet lives of three high school students with genetic superhuman abilities turn upside down when a mysterious organization starts to hunt them down one by one.
3,The Devil's Plan,2023– ,"Game-Show, Reality-TV",8.2,"1,441","In this competition of intelligence, contestants face off in games of wit and strategy to be crowned winner and go home with the ultimate prize."
4,Strong Girl Nam-soon,2023,"Action, Comedy, Crime",7.4,341,"Gifted with superhuman strength, a young woman returns to South Korea to look for her birth family - only to be entangled in a drug case that could test her power and strength."
5,Doona!,2023– ,"Comedy, Drama, Romance",7.2,985,Follows the romance between a freshman college student and an established female pop idol.
6,Destined with You,2023– ,"Drama, Fantasy, Romance",7.7,"2,002","Follows a successful lawyer who has everything, but who is plagued by a family curse, and turns out that the one who holds the secret to breaking it is the seemingly ordinary civil servant."
7,The Boondocks,2005–2014,"Animation, Action, Comedy",8.5,"34,176",Brothers Huey and Riley Freeman experience a culture clash when they leave Chicago to move in with their grandfather in the suburbs.
8,Miraculous: Tales of Ladybug & Cat Noir,2015– ,"Animation, Action, Adventure",7.5,"14,596","Marinette and Adrien, two normal teens, transform into the superheroes Ladybug and Cat Noir when a mysterious evil threatens to destroy Paris."
9,Arthdal Chronicles,2019–2023,"Action, Drama, Fantasy",8.3,"5,429","""Arthdal Chronicles"" depicts the birth of civilization and nations in ancient times. It is a story of mythical heroes--their struggle, unity, and love of people living in a virtual land called Arth."
10,Strong Girl Bong-soon,2017,"Comedy, Crime, Drama",8.2,"15,734","Do Bong-soon is a woman born with superhuman strength that comes from the long line of women possessing it. when Ahn Min Hyuk, the CEO of ainsoft, a gaming company witnesses her strength he hires her as his personal bodyguard."
11,Sparkling Watermelon,2023– ,"Fantasy, Music, Romance",9.0,246,"""Sparkling Watermelon"" will tell the story of a boy living a double life between a model student and a band member who gets to time slip and meets his 18-year-old father. The two will build friendships there."
12,Alchemy of Souls,2022– ,"Action, Drama, Fantasy",8.8,"14,052","Set in a fictional country called Daeho, it is about the love and growth of young mages as they overcome their twisted fates due to a forbidden magic spell known as the ""alchemy of souls"", which allows souls to switch bodies."
13,All of Us Are Dead,2022– ,"Action, Drama, Fantasy",7.5,"61,063",A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out or turn into one of the rabid infected.
14,Crash Landing on You,2019–2020,"Adventure, Comedy, Romance",8.7,"37,409",The absolute top secret love story of a chaebol heiress who made an emergency landing in North Korea because of a paragliding accident and a North Korean special officer who falls in love with her and who is hiding and protecting her.
15,King the Land,2023– ,"Comedy, Romance",4.5,"130,311","Amid a tense inheritance fight, a charming heir clashes with his hardworking employee who's known for her irresistible smile, which he cannot stand."
16,The Glory,2022– ,"Drama, Mystery, Thriller",8.1,"22,530",A woman lives for absolute revenge against her childhood bullies who destroyed her life.
